proxy_model,source_model_scope,gpu,workload,target_tok_s_user,target_met,slo_gap_pct,effective_output_tps_per_mw,selected_tok_s_user,precision,framework,concurrency,isl,osl,selection_status,source_type,confidence,benchmark_date,method_note
dsr1,dsr1,H200,short,10,True,0.0,47614.0,10.3,fp8,sglang,8,1024,1024,selected_public_max,direct_target_row,medium,2026-05-17T00:00:00.000Z,tok_s_user is computed as output_tok_s_gpu/concurrency when source tok_s_user is blank; agentic_derived uses long_chat rows multiplied by the Kimi K2.5 agentic/long ratio.
dsr1,dsr1,H200,short,30,False,0.6566666666666666,47614.0,10.3,fp8,sglang,8,1024,1024,selected_public_max,best_available_below_target,low_target_gap,2026-05-17T00:00:00.000Z,tok_s_user is computed as output_tok_s_gpu/concurrency when source tok_s_user is blank; agentic_derived uses long_chat rows multiplied by the Kimi K2.5 agentic/long ratio.
dsr1,dsr1,H200,short,50,False,0.794,47614.0,10.3,fp8,sglang,8,1024,1024,selected_public_max,best_available_below_target,low_target_gap,2026-05-17T00:00:00.000Z,tok_s_user is computed as output_tok_s_gpu/concurrency when source tok_s_user is blank; agentic_derived uses long_chat rows multiplied by the Kimi K2.5 agentic/long ratio.
dsr1,dsr1,H200,short,70,False,0.8528571428571429,47614.0,10.3,fp8,sglang,8,1024,1024,selected_public_max,best_available_below_target,low_target_gap,2026-05-17T00:00:00.000Z,tok_s_user is computed as output_tok_s_gpu/concurrency when source tok_s_user is blank; agentic_derived uses long_chat rows multiplied by the Kimi K2.5 agentic/long ratio.
dsr1,dsr1,H200,short,100,False,0.897,47614.0,10.3,fp8,sglang,8,1024,1024,selected_public_max,best_available_below_target,low_target_gap,2026-05-17T00:00:00.000Z,tok_s_user is computed as output_tok_s_gpu/concurrency when source tok_s_user is blank; agentic_derived uses long_chat rows multiplied by the Kimi K2.5 agentic/long ratio.
dsr1,dsr1,H200,long,10,True,0.0,27722.0,11.99,fp8,sglang,4,8192,1024,selected_public_max,direct_target_row,medium,2026-05-20T00:00:00.000Z,tok_s_user is computed as output_tok_s_gpu/concurrency when source tok_s_user is blank; agentic_derived uses long_chat rows multiplied by the Kimi K2.5 agentic/long ratio.
dsr1,dsr1,H200,long,30,False,0.6003333333333333,27722.0,11.99,fp8,sglang,4,8192,1024,selected_public_max,best_available_below_target,low_target_gap,2026-05-20T00:00:00.000Z,tok_s_user is computed as output_tok_s_gpu/concurrency when source tok_s_user is blank; agentic_derived uses long_chat rows multiplied by the Kimi K2.5 agentic/long ratio.
dsr1,dsr1,H200,long,50,False,0.7602,27722.0,11.99,fp8,sglang,4,8192,1024,selected_public_max,best_available_below_target,low_target_gap,2026-05-20T00:00:00.000Z,tok_s_user is computed as output_tok_s_gpu/concurrency when source tok_s_user is blank; agentic_derived uses long_chat rows multiplied by the Kimi K2.5 agentic/long ratio.
dsr1,dsr1,H200,long,70,False,0.8287142857142857,27722.0,11.99,fp8,sglang,4,8192,1024,selected_public_max,best_available_below_target,low_target_gap,2026-05-20T00:00:00.000Z,tok_s_user is computed as output_tok_s_gpu/concurrency when source tok_s_user is blank; agentic_derived uses long_chat rows multiplied by the Kimi K2.5 agentic/long ratio.
dsr1,dsr1,H200,long,100,False,0.8801000000000001,27722.0,11.99,fp8,sglang,4,8192,1024,selected_public_max,best_available_below_target,low_target_gap,2026-05-20T00:00:00.000Z,tok_s_user is computed as output_tok_s_gpu/concurrency when source tok_s_user is blank; agentic_derived uses long_chat rows multiplied by the Kimi K2.5 agentic/long ratio.
dsr1,dsr1,H200,agentic,10,False,0.8696739130434782,3013.2608695652175,1.3032608695652175,fp8,sglang,4,8192,1024,agentic_from_long_chat,dynamic_reasoning_proxy,low_target_gap,2026-05-20T00:00:00.000Z,Agentic throughput = long-chat output TPS/MW divided by 9.2x LLM call multiplier from dynamic reasoning / AgentBench analysis. Long-chat source selection: selected_public_max; agentic_best_available_below_target.
