analysis_layer,source_section,target_section,source_metric,source_transform,target_metric,target_transform,target_transform_col,lag_quarters,timing,lag_interpretation,observations,corr,r_squared,beta_target_per_1_source,status
Procurement spend -> Supplier revenue,AI Chip,AI Platforms,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,-4,target leads,AI Platforms Revenue leads AI Chip Cost of revenue by 4 quarter(s),27,-0.4945264595724411,0.24455641921725324,-0.007362474098571711,ok
Procurement spend -> Supplier revenue,AI Chip,AI Platforms,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,-3,target leads,AI Platforms Revenue leads AI Chip Cost of revenue by 3 quarter(s),28,-0.03291873747148021,0.0010836432767162354,-0.0004897001603647338,ok
Procurement spend -> Supplier revenue,AI Chip,AI Platforms,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,-2,target leads,AI Platforms Revenue leads AI Chip Cost of revenue by 2 quarter(s),29,0.9243173315127577,0.8543625293348653,0.039203503235485514,ok
Procurement spend -> Supplier revenue,AI Chip,AI Platforms,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,-1,target leads,AI Platforms Revenue leads AI Chip Cost of revenue by 1 quarter(s),30,0.8677855488853788,0.7530517588542982,0.07395866877720357,ok
Procurement spend -> Supplier revenue,AI Chip,AI Platforms,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,AI Chip Cost of revenue and AI Platforms Revenue move in the same quarter,31,0.7607925027166397,0.5788052321898481,0.09691826124932199,ok
Procurement spend -> Supplier revenue,AI Chip,AI Platforms,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,1,source leads,AI Chip Cost of revenue leads AI Platforms Revenue by 1 quarter(s),30,0.5143910429734514,0.26459814509131513,0.6990629569127208,ok
Procurement spend -> Supplier revenue,AI Chip,AI Platforms,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,2,source leads,AI Chip Cost of revenue leads AI Platforms Revenue by 2 quarter(s),29,0.573687653227901,0.32911752346613643,0.7919142229487923,ok
Procurement spend -> Supplier revenue,AI Chip,AI Platforms,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,3,source leads,AI Chip Cost of revenue leads AI Platforms Revenue by 3 quarter(s),28,0.341506021931204,0.11662636301527599,0.5069675506050784,ok
Procurement spend -> Supplier revenue,AI Chip,AI Platforms,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,4,source leads,AI Chip Cost of revenue leads AI Platforms Revenue by 4 quarter(s),27,-0.24365604667070595,0.05936826907919723,-0.4441074122766412,ok
Procurement spend -> Supplier revenue,AI Chip,AI Platforms,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,5,source leads,AI Chip Cost of revenue leads AI Platforms Revenue by 5 quarter(s),26,-0.20340494373479023,0.04137357113575318,-0.37858577720001585,ok
Procurement spend -> Supplier revenue,AI Chip,AI Platforms,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,6,source leads,AI Chip Cost of revenue leads AI Platforms Revenue by 6 quarter(s),25,-0.17810955792538344,0.03172301462437552,-0.3345417174207473,ok
Procurement spend -> Supplier revenue,AI Chip,AI Platforms,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,7,source leads,AI Chip Cost of revenue leads AI Platforms Revenue by 7 quarter(s),24,-0.10831915913461447,0.011733040235629934,-0.20491983341516756,ok
Procurement spend -> Supplier revenue,AI Chip,AI Platforms,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,8,source leads,AI Chip Cost of revenue leads AI Platforms Revenue by 8 quarter(s),23,0.01345386183210173,0.00018100639819728373,0.02579407835940138,ok
Procurement spend -> Supplier revenue,AI Chip,AI Software,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,-4,target leads,AI Software Revenue leads AI Chip Cost of revenue by 4 quarter(s),24,-0.32240128792518413,0.10394259045581748,-0.10418939995671321,ok
Procurement spend -> Supplier revenue,AI Chip,AI Software,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,-3,target leads,AI Software Revenue leads AI Chip Cost of revenue by 3 quarter(s),25,-0.08226356505353404,0.006767294135317026,-0.02842688678388412,ok
Procurement spend -> Supplier revenue,AI Chip,AI Software,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,-2,target leads,AI Software Revenue leads AI Chip Cost of revenue by 2 quarter(s),26,-0.07252024120312728,0.005259185384159759,-0.02600292131362594,ok
Procurement spend -> Supplier revenue,AI Chip,AI Software,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,-1,target leads,AI Software Revenue leads AI Chip Cost of revenue by 1 quarter(s),27,-0.03877568762231561,0.0015035539505834001,-0.014698071251452078,ok
Procurement spend -> Supplier revenue,AI Chip,AI Software,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,AI Chip Cost of revenue and AI Software Revenue move in the same quarter,28,0.6115355675566119,0.3739757503867874,0.41686676550054796,ok
Procurement spend -> Supplier revenue,AI Chip,AI Software,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,1,source leads,AI Chip Cost of revenue leads AI Software Revenue by 1 quarter(s),27,-0.12790130602283287,0.016358744082346343,-0.10658691976328483,ok
Procurement spend -> Supplier revenue,AI Chip,AI Software,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,2,source leads,AI Chip Cost of revenue leads AI Software Revenue by 2 quarter(s),26,-0.19217370247043503,0.03693073192119529,-0.1628796662450152,ok
Procurement spend -> Supplier revenue,AI Chip,AI Software,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,3,source leads,AI Chip Cost of revenue leads AI Software Revenue by 3 quarter(s),25,-0.2529856916282248,0.06400176016861125,-0.21572427331605645,ok
Procurement spend -> Supplier revenue,AI Chip,AI Software,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,4,source leads,AI Chip Cost of revenue leads AI Software Revenue by 4 quarter(s),24,-0.35945824281904365,0.12921022833055454,-0.3086035153227783,ok
Procurement spend -> Supplier revenue,AI Chip,AI Software,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,5,source leads,AI Chip Cost of revenue leads AI Software Revenue by 5 quarter(s),23,0.008749150668402947,7.654763741841572e-05,0.007501287091667116,ok
