gpu,architecture,anchor_gpu,hbm_bandwidth_tb_s,all_in_kw,source_url,evidence_status,note
H200,Hopper,B200,4.8,1.37,https://www.nvidia.com/en-us/data-center/h200/,InferenceX_direct_when_available,B200 is used only when an H200 benchmark row is missing; direct H200 rows always override scaling.
B200,Blackwell,H200,8.0,1.71,https://docs.nvidia.com/enterprise-reference-architectures/hgx-ai-factory/latest/components.html,InferenceX_direct_when_available,Direct benchmark rows override scaling.
B300,Blackwell Ultra,B200,8.0,1.90,https://www.nvidia.com/en-us/data-center/hgx/,InferenceX_direct_when_available,Direct benchmark rows override scaling.
GB200,Grace Blackwell NVL72,B200,8.0,1.87,https://www.nvidia.com/en-us/data-center/gb200-nvl72/,InferenceX_direct_when_available,Per-GPU bandwidth and all-in power basis.
GB300,Grace Blackwell Ultra NVL72,GB200,8.0,2.12,https://www.nvidia.com/en-us/data-center/gb300-nvl72/,InferenceX_direct_when_available,Per-GPU bandwidth and all-in power basis.
R200,Rubin scenario,B300,,,,editable_scenario_no_direct_benchmark,Enter HBM bandwidth TB/s and all-in kW; TPS/MW stays blank until both are positive.
VR200,Vera Rubin rack-scale scenario,GB300,,,,editable_scenario_no_direct_benchmark,Enter per-GPU HBM bandwidth TB/s and per-GPU all-in kW.
R300,Rubin-next scenario,R200,,,,editable_scenario_no_direct_benchmark,Uses the B300 benchmark curve through the R200 anchor chain.
VR300,Vera Rubin-next rack scenario,VR200,,,,editable_scenario_no_direct_benchmark,Uses the GB300 benchmark curve through the VR200 anchor chain.
Post Rubin,Post-Rubin scenario,VR300,,,,editable_scenario_no_direct_benchmark,Uses the GB300 benchmark curve through the VR300 anchor chain.
