source_section,target_section,stage,hypothesis,source_metric,target_metric,best_forward_lag_quarters,best_forward_corr,best_forward_observations,best_same_or_forward_lag_quarters,best_same_or_forward_corr,best_same_or_forward_observations,best_any_lag_quarters,best_any_corr,best_abs_lag_quarters,best_abs_corr,signal_class,evidence_note
Hyperscalers,CPU,compute_and_memory_procurement,Compute and memory procurement follows hyperscaler investment budgets.,capex_yoy_pct,revenue_usd_m_yoy_pct,7.0,0.40226270588091784,23,7.0,0.40226270588091784,23,7.0,0.40226270588091784,2.0,-0.6617406487681329,weak,"Forward signal at +7Q, corr 0.40, n=23. Strongest absolute relation is lag 2Q, corr -0.66."
Hyperscalers,Energy,facility_and_server_buildout,"Data-center buildout pull-through into physical infrastructure, server assembly, and networking.",capex_yoy_pct,revenue_usd_m_yoy_pct,3.0,0.36052738213307983,25,3.0,0.36052738213307983,25,3.0,0.36052738213307983,3.0,0.36052738213307983,weak,"Forward signal at +3Q, corr 0.36, n=25. Strongest absolute relation is lag 3Q, corr 0.36."
Hyperscalers,NAND,compute_and_memory_procurement,Compute and memory procurement follows hyperscaler investment budgets.,capex_yoy_pct,revenue_usd_m_yoy_pct,1.0,0.35231127748254176,29,1.0,0.35231127748254176,29,1.0,0.35231127748254176,5.0,-0.48924959595193995,weak,"Forward signal at +1Q, corr 0.35, n=29. Strongest absolute relation is lag 5Q, corr -0.49."
Hyperscalers,Server OEM,facility_and_server_buildout,"Data-center buildout pull-through into physical infrastructure, server assembly, and networking.",capex_yoy_pct,revenue_usd_m_yoy_pct,8.0,0.3350582694192325,23,8.0,0.3350582694192325,23,-3.0,0.7430649124882963,-3.0,0.7430649124882963,weak,"Forward signal at +8Q, corr 0.34, n=23. Strongest absolute relation is lag -3Q, corr 0.74."
Hyperscalers,Server Networking,facility_and_server_buildout,"Data-center buildout pull-through into physical infrastructure, server assembly, and networking.",capex_yoy_pct,revenue_usd_m_yoy_pct,8.0,0.323483362074595,23,8.0,0.323483362074595,23,-3.0,0.6928262008283519,-3.0,0.6928262008283519,weak,"Forward signal at +8Q, corr 0.32, n=23. Strongest absolute relation is lag -3Q, corr 0.69."
Hyperscalers,Cooling,facility_and_server_buildout,"Data-center buildout pull-through into physical infrastructure, server assembly, and networking.",capex_yoy_pct,revenue_usd_m_yoy_pct,4.0,0.1974653248490814,26,4.0,0.1974653248490814,26,-3.0,0.5085332703654751,-3.0,0.5085332703654751,very weak,"Forward signal at +4Q, corr 0.20, n=26. Strongest absolute relation is lag -3Q, corr 0.51."
Hyperscalers,Server EMS,facility_and_server_buildout,"Data-center buildout pull-through into physical infrastructure, server assembly, and networking.",capex_yoy_pct,revenue_usd_m_yoy_pct,7.0,0.13023941330196695,23,7.0,0.13023941330196695,23,-4.0,0.6294959135776217,-4.0,0.6294959135776217,very weak,"Forward signal at +7Q, corr 0.13, n=23. Strongest absolute relation is lag -4Q, corr 0.63."
Hyperscalers,DRAM,compute_and_memory_procurement,Compute and memory procurement follows hyperscaler investment budgets.,capex_yoy_pct,revenue_usd_m_yoy_pct,8.0,0.07722979523238804,20,0.0,0.49497907143237113,28,-2.0,0.7603482442028036,-2.0,0.7603482442028036,very weak,"Forward signal at +8Q, corr 0.08, n=20. Strongest absolute relation is lag -2Q, corr 0.76."
Hyperscalers,AI Chip,compute_and_memory_procurement,Compute and memory procurement follows hyperscaler investment budgets.,capex_yoy_pct,revenue_usd_m_yoy_pct,1.0,0.06143599233562102,29,0.0,0.7323823418405592,29,0.0,0.7323823418405592,0.0,0.7323823418405592,very weak,"Forward signal at +1Q, corr 0.06, n=29. Strongest absolute relation is lag 0Q, corr 0.73."
AI Chip,OSAT / packiging,accelerator_supply_chain,"AI accelerator investment cycle pulls memory, advanced packaging, and foundry demand.",capex_qoq_pct,revenue_usd_m_yoy_pct,1.0,0.5345315390607202,4,1.0,0.5345315390607202,4,1.0,0.5345315390607202,-1.0,-0.5873577773009143,exploratory low-n,"Forward signal at +1Q, corr 0.53, n=4. Low-n supplemental result; use as map hypothesis only. Strongest absolute relation is lag -1Q, corr -0.59."
AI Chip,NAND,accelerator_supply_chain,"AI accelerator investment cycle pulls memory, advanced packaging, and foundry demand.",capex_qoq_pct,revenue_usd_m_yoy_pct,3.0,0.5328004663890507,4,3.0,0.5328004663890507,4,-4.0,0.8433713813623535,2.0,-0.9079953273972976,exploratory low-n,"Forward signal at +3Q, corr 0.53, n=4. Low-n supplemental result; use as map hypothesis only. Strongest absolute relation is lag 2Q, corr -0.91."
AI Chip,DRAM,accelerator_supply_chain,"AI accelerator investment cycle pulls memory, advanced packaging, and foundry demand.",capex_qoq_pct,revenue_usd_m_yoy_pct,,,0,,,0,,,-1.0,-0.7572223497009873,no forward evidence,"No positive forward signal. Strongest absolute relation is lag -1Q, corr -0.76."
