group,supply_chain_role,bottleneck_sensitivity,current_coupling_signal,avg_pair_corr,pc1_share,latest_12m_avg_pair_corr,bottleneck_proxy_to_verify,price_data_interpretation,evidence_needed_before_claiming_bottleneck,latest_year_avg_pair_corr,latest_year_yoy_change,latest_year_months
DRAM,HBM / DRAM memory layer,high,strong market coupling,0.7472105665722104,0.8321119525622135,0.827639577957978,"HBM allocation, DRAM ASP, customer prepayments, wafer starts, inventory days","High coupling here can be consistent with market-wide memory shortage or HBM allocation narratives, but price data alone cannot prove shortage.","HBM capacity by vendor, contract backlog, ASP trend, lead time, memory inventory, hyperscaler purchase commitments",0.8803582474014052,0.24371031713425317,6
HW equipment,Semiconductor equipment / process capacity enabler,high,strong market coupling,0.6296721802055923,0.6781464988657333,0.6879445051086693,"WFE capex, EUV/advanced-node equipment availability, advanced packaging equipment demand","High coupling is consistent with a capacity-expansion factor: if fabs and packaging capacity are bottlenecks, equipment suppliers tend to re-rate together.","WFE order backlog, EUV shipment outlook, advanced packaging tool orders, foundry capex guidance",0.7151820906230125,0.022283503599385912,6
Cooling,Thermal management / data center cooling,high,moderate market coupling,0.5054432739408634,0.6348270646225378,0.641293813261564,"Rack power density, liquid cooling adoption, chiller/cold-plate lead time, data center PUE constraints",Rising coupling can be interpreted as market recognition that thermal capacity is a shared AI infrastructure constraint.,"Liquid cooling attach rate, rack density trend, cooling equipment backlog, data center PUE and water constraints",0.8045061227559301,0.5745906924096507,6
AI Chip,Accelerator / custom silicon demand layer,high,moderate market coupling,0.38942692455326655,0.5239797838814341,0.5117652875869946,"GPU/ASIC allocation, foundry capacity, HBM attach availability, packaging capacity","Moderate-to-rising coupling can reflect common AI accelerator demand, but individual product cycle and export control exposure still matter.","GPU lead time, accelerator shipment mix, foundry allocation, HBM attach supply, export-control exposure",0.684053911469937,0.33863637470853125,6
OSAT / packiging,Advanced packaging / test layer,high,moderate market coupling,0.38434611584549744,0.49039982740966104,0.4760656701395256,"CoWoS/2.5D capacity, substrate supply, test capacity, package lead time",Packaging can be a binding constraint for AI accelerators; moderate coupling suggests the section is partly priced as an AI capacity bottleneck.,"CoWoS capacity, advanced substrate supply, OSAT utilization, package/test lead times",0.6094030672426851,0.14364848078953718,6
Energy,"Power, grid, electrical equipment, data center energy supply",high,weak / fragmented market coupling,0.3324297354609795,0.4167812345689133,0.4056296037979804,"Interconnection queue, transformer lead time, firm power availability, utility load growth","Moderate coupling with a strong 2026 YTD move can fit the power bottleneck story, but the group also contains utilities and industrials with different drivers.","Grid interconnection delays, transformer/switchgear backlog, utility capex plans, data center load commitments",0.49988508469128284,0.2443051900310222,6
NAND,AI storage / enterprise SSD / memory-adjacent layer,medium-high,strong market coupling,0.707636152812368,0.8535657688503783,0.8250630068659724,"Enterprise SSD pricing, NAND bit supply growth, HDD nearline demand, hyperscaler storage capex",Strong coupling suggests the market is pricing storage vendors as one supply/demand factor; validate against storage shortage and pricing data.,"NAND ASP, enterprise SSD backlog, HDD nearline shipments, hyperscaler storage procurement commentary",0.9368520703503814,0.3130604989345228,6
Neocloud,GPU cloud / compute capacity monetization,medium-high,strong market coupling,0.664109533564664,0.8320547667823318,0.7153026495030896,"Contracted GPU capacity, utilization, financing spread, power access","High full-period coupling but weaker 2026 YTD coupling suggests the theme can fragment when financing, utilization, and execution risk diverge.","Contracted capacity, utilization, debt cost, power contracts, GPU fleet delivery schedule",0.48100058851416655,-0.4068427791879052,6
Server ODM,Cloud server ODM / rack-scale integration,medium-high,moderate market coupling,0.42403947139310827,0.5300788486926793,0.4871645257123542,"Hyperscaler rack orders, AI server build schedule, rack-scale integration capacity, GPU allocation",ODM coupling is more directly tied to hyperscaler AI buildouts; strong coupling can screen for shared rack-scale integration or allocation constraints.,"AI rack backlog, hyperscaler customer mix, GPU allocation, rack delivery schedule, ODM utilization",0.7526005816628254,0.25342902756990243,6
Server Networking,AI cluster networking / optical interconnect,medium-high,weak / fragmented market coupling,0.3429642838170863,0.42420185568907703,0.34357329763645245,"800G/1.6T optical demand, switch ASIC availability, transceiver lead time","Moderate coupling can reflect AI cluster buildout pressure, but optical, switching, and telecom exposures differ.","Optical transceiver backlog, Ethernet/InfiniBand switch demand, hyperscaler networking capex",0.5156568184544766,0.0811060800403618,6
